Nom,Prénom,Lieu,Note,Enseigne,Informations,ISNI,Ids,Type,Ville,Rue,Indication,Enseigne_2,Coordonnées
Imprimerie Royale.,,,,,,isni:0000000123698534,http://isni.org/isni/0000000123698534,Imprimeur,Paris,,au Palais,,
J.,J.,à Anvers.,,,,,,Imprimeur,Anvers,,,,
Jacquard,Nicolas,"au mont Saint-Hilaire, près le Puits-Certain",,Au treillis vert.,"['Clermont-Ferrand : 1653-1679 ; Près la Grande fontaine', 'Sens : 1639-1641', 'Paris : 1646-1651 ; Rue Chartière (, près le Puits Certain) - Au Treillis vert - À la Charité - À la Renommée', ""Imprimeur-libraire ; imprimeur ordinaire de monseigneur l'archevêque et du diocèse de Sens (1641-1650) ; à Clermont-Ferrand, (premier) imprimeur et libraire ordinaire du Roi, de monseigneur l'évêque et du clergé. Fils de l'imprimeur de Troyes Jean Jacquard. Recu libraire à Paris en juillet 1646 ; y exerce l'imprimerie à partir de 1649 ou peu avant. Venu à Clermont-Ferrand en nov. 1651 à l'invitation de l'évêque. Dit, sans doute à tort, âgé de 60 ans lors de son décès (1er janv. 1680)"", 'Devise(s) : Discite justitiam moniti']",isni:0000000109088537,http://isni.org/isni/0000000109088537,Imprimeur,Paris,rue Chartière,"au mont Saint-Hilaire, près le Puits-Certain",,
Jacquet,M.,rue de la Huchette,,,,,,Imprimeur,Paris,rue de la Huchette,,,
Jacquet,Marignon,rue de la Boucherie,,Aux trois oysons.,,,,Imprimeur,Paris,rue de la Boucherie,,Aux trois Oysons,
Josse,Georges,rue Saint-Jacques,,A la couronne d’épines.|A la couronne d’épines.,"['Devise(s) : In spinis collige rosas', 'Variante(s) de prénom : Georgius. - Libraire. - Entre en apprentissage chez le libraire-relieur parisien Claude Bazin en juin 1609. Reçu maître le 2 sept. 1627. Gendre du libraire Jean II de Heuqueville à qui il succède. Membre des Compagnies des usages et de la Grand-Navire. Décédé à Paris en mars 1678. Père des libraires Claude, Georges II, Louis et Pierre II Josse ; beau-père du libraire Charles Angot', ""Paris : 1627-1678 ; Rue Saint-Jacques - À la Couronne d'épine(s)""]",isni:000000036638226X,http://isni.org/isni/000000036638226X,Imprimeur,Paris,rue Saint-Jacques,,A la couronne d'épines,
Julien,Jean,rue de la Harpe,,Aux quatre évangélistes.,"[""Libraire et imprimeur juré de l'université. Paris, 21 avril 1649 - 1660?. Adresse : via Citharea, sub signo Quatuor evangelistarum, prope collegium Justinianum & Harcurianum = rue de la Harpe, aux Quatre évangélistes, proche les collèges de Justice et d'Harcourt""]",isni:0000000357084279,http://isni.org/isni/0000000357084279,Imprimeur,Paris,rue de la Harpe,proche les collèges de Justice et d'Harcourt,Aux quatre évangélistes,
Juster,Jacques,"rue Comfort, à Lyon.",,A l’écu de France,,,,Imprimeur,Lyon,rue Comfort,,À l'écu de France,
Lacarrière,Thomas,sur le quai de Gèvres,,A l’oiseau de paradis.,,,,Imprimeur,Paris,sur le quai de Gèvres,,À l'oiseau de paradis,
Lafosse (de),Salomon,"sur le quai de Gèvres, vers le pont Marchand.",,,,isni:0000000070440942,http://isni.org/isni/0000000070440942,Imprimeur,Paris,sur le quai de Gèvres,vers le pont Marchand ,,
Lallay,Jacques,,,,,,,Imprimeur,,,,,
Lalemant,Pierre,à la montagne Sainte-Geneviève,,Au paon royal.,"[""Professeur de rhétorique au collège du cardinal Lemoine. Recteur de l'Université (1653-1655). Génovéfain (1656). Prieur de Sainte-Geneviève. Chancelier de l'Université (1662). Orateur"", 'Écrit aussi en latin']",isni:0000000106549641,http://isni.org/isni/0000000106549641,Imprimeur,Paris,,à la montagne Sainte-Geneviève,au paon Royal,
Lambert,Etienne,au mont Saint-Hilaire,,,['Libraire. - Paris : 1652. - Adresse : au Mont Saint-Hilaire'],isni:0000000079624908,http://isni.org/isni/0000000079624908,Imprimeur,Paris,,au mont Saint-Hilaire,,
Lambert,Philippe,,,,,,,Imprimeur,,,,,
Lamet,Pierre,au mont Saint-Hilaire,,,,,,Imprimeur,Paris,,au mont Saint-Hilaire,,
L’Angevin,Antoine,,,,,viaf:120197913,http://viaf.org/viaf/120197913,Imprimeur,,,,,
L'Angevin,Nicolas,,,,"[""Imprimeur-libraire. Publie une mazarinade en 1652. Peut-être s'agit-il d'un pseudonyme, éventuellement l'anagramme de l'imprimeur-libraire parisien Nicolas de La Vigne"", ""Lieu d'activité : Paris. Dates d'activité : 1652""]",isni:000000007775504X,http://isni.org/isni/000000007775504X,Imprimeur,Paris,,,,
Langlois,Jacques,vis-à-vis de la fontaine Sainte-Geneviève,,A la reine de paix.,"['Autre(s) graphie(s) : Langlois fils. Imprimeur-libraire ; imprimeur ordinaire du Roi (1678). 2e fils de Jacques I Langlois à qui il succède comme imprimeur du Roi', ""Travaille souvent en association avec son père jusqu'à la mort de ce dernier en 1678"", ""Paris : 1652-1693 ; Au Palais ; Rue d'Écosse ; Rue Galande, proche la place Maubert, vis-à-vis la rue du Fouarre ; Rue Saint-Jacques, au coin de la rue des Noyers, près (ou : proche) (la chapelle) Saint-Yves - Aux Trois Crémaillères - À la Reine de Paix - À l'Image Saint Vincent - À l'Image Saint Jacques le Mineur""]",isni:0000000360940558,http://isni.org/isni/0000000360940558,Imprimeur,Paris,rue d'Écosse,vis-à-vis de la fontaine Sainte-Geneviève,A la reine de paix,
Langlois,Denis,au mont Saint-Hilaire,,à l’enseigne du Pélican.|à l’enseigne du Pélican.,"[""Autre(s) graphie(s) : Langlois aîné ; Langlois père. Imprimeur-libraire. Fils de Denis I Langlois. Reçu maître en déc. 1644. Arrêté en juin 1657 pour impression de pamphlets jansénistes, il est relâché après avoir avoué. Un arrêt du 17 févr. 1667 lui enjoint de fermer son atelier, ainsi qu'à 12 autres imprimeurs, faute de satisfaire aux conditions requises. Encore en activité en nov. 1667 (quittance alors un apprenti)"", ""Paris : 1644-1667? ; Rue des Sept-Voies ; Au Mont Saint-Hilaire (, près la Puits Certain ; dans la cour d'Albret) - À l'enseigne du Pélican""]",isni:0000000110403338,http://isni.org/isni/0000000110403338,Imprimeur,Paris,rue des Sept-Voyes,au mont Saint-Hilaire,à l’enseigne du Pélican,
Langlois,Emmanuel,,"On peut le croire fils de Denis ; car il est, en 1652, associé de Gervais Alliot pour la publication du Journal du Parlement.",,,isni:0000000439656453,http://isni.org/isni/0000000439656453,Imprimeur,,,,,
Larru,Samuel de,près Saint-Estienne.,,,"[""Lieu d'activité : Paris. Dates d'activité : 1652. Adresse : Près Saint-Étienne"",'Libraire. - Publie des mazarinades en 1652']",isni:0000000364740772,http://isni.org/isni/0000000364740772,Imprimeur,Paris,,près Saint-Etienne,,
Laureau,Laurent,,,,"[""Lieu d'activité : Paris. Dates d'activité : 1652"",""Publie des mazarinades en 1652. Peut-être s'agit-il d'un pseudonyme""]",isni:0000000079147988,http://isni.org/isni/0000000079147988,Imprimeur,,,,,
Laurent,J.,à Toul.,imprimeur du roi,,,,,Imprimeur,Toul,,,,
Laynié,François,à Saumur,imprimeur du roi,,,,,Imprimeur,Saumur,,,,
Leblond,Jérôme,au mont Saint-Hilaire,,,,,,Imprimeur,Paris,,au mont Saint-Hilaire,,
Le Bon,Jacques,au mont Saint-Hilaire,,,,viaf:107061830,http://viaf.org/viaf/107061830,Imprimeur,Paris,,au mont Saint-Hilaire,,
Champenois,Pierre,proche la Samaritaine.,,,"['En 1633, travaille en association avec le libraire Pierre Trichard', 'Libraire-relieur. - En apprentissage chez le libraire parisien Guillaume I Macé à partir de juin 1610. Reçu maître le 14 mai 1626. En 1645 obtient des lettres de colporteur. Le 1er mars 1648, des pièces de théâtre de Pierre Corneille contrefaites sont saisies dans sa boutique ainsi que chez d'autres libraires parisiens ; une sentence du Châtelet du 28 nov. 1648 les condamne aux dommages et intérêts et porte confiscation des livres saisis (cf. G. Lepreux, ""Revue des bibliothèques"", XXIV, 1914, pp. 159-161). Sépulture le 5 mars 1649 à Paris', ""Lieu d'activité : Paris. Dates d'activité : 1626-1649. Adresse : (Dessus (ou : Sur) le Pont-Neuf,) Proche (ou : vis-à-vis ; devant) la Samaritaine""]",viaf:218396028,http://viaf.org/viaf/218396028,Imprimeur,Paris,sur le Pont-Neuf,proche la Samaritaine,,
Leché,Marin,"au premier pillier de la grand’Salle du Palais, au Soleil d’or, vis à vis de la Chapelle",Imprimeur & Libraire ordinaire du Roy,,"[""Lieu d'activité : Paris. Dates d'activité : 1649-1679?. Adresse : Dans la (grande) salle du Palais (, au premier pilier, vis-à-vis la chapelle ; proche le Bailliage ; vers la cour des Aides). Adresse : Au septième pilier de la Grand-Salle (du Palais). Enseigne : Au Soleil d'or"",'Libraire ; imprimeur et libraire ordinaire du Roi (1653-1661) ; imprimeur ordinaire de Monseigneur le duc d'Anjou (1652-1654). Entré en apprentissage chez l'imprimeur-libraire parisien Pierre Rocolet en mars 1639 pour 6 ans. Reçu maître le 14 mai 1649. Aurait obtenu, en 1653 ou peu avant, un brevet d'imprimeur de la garde-robe du Roi. Poursuivi en justice par la communauté des imprimeurs et libraires de Paris pour usurpation de la qualité d'imprimeur et libraire ordinaire du Roi. Ne semble pas s'être prévalu de ce titre après 1661, un arrêt du 21 mars 1661 lui défendant de continuer à le prendre sous peine de 3 000 l. d'amende. Antoine Fournot est cependant reçu imprimeur de la garde-robe du Roi le 9 mars 1680 ""aux lieu et place de deffunct Marin Leché']",isni:0000000002804070,http://isni.org/isni/0000000002804070,Imprimeur,Paris,,"au premier pillier de la grand’Salle du Palais, vis à vis de la Chapelle",au Soleil d’or,
Lecomte,François,rue Saint-Jacques,Probablement successeur de la veuve J. Remy., A l’image saint Remy,,,,Imprimeur,Paris,rue Saint-Jacques,, A l’image saint Remy,
Ledrut,Nicolas,au mont Saint-Hilaire,,,,isni:0000000077417868,http://isni.org/isni/0000000077417868,Imprimeur,Paris,,au mont Saint-Hilaire,,
Leféron,Antoine,,,,,isni:0000000077000229,http://isni.org/isni/0000000077000229,Imprimeur,,,,,
Lefèvre,Philippe,"proche Saint-Estienne ; plus tard au mont Saint-Hilaire, proche le Puits-Certain.",,,,,,Imprimeur,Paris,,"au mont Saint-Hilaire, proche le Puits-Certain",,
Legaillard,Louis,derrière le Puits-Certain.,,,,,,Imprimeur,Paris,,derrière le Puits-Certain,,
Le Gentil,Jacques,"rue d’Écosse, près Saint-Hilaire.",,à l’enseigne Saint Jérôme|à l’enseigne Saint Jérôme,"[""Lieu d'activité : Paris. Dates d'activité : 1651-1672?. Adresse : Rue d'Écosse, près Saint-Hilaire. Adresse : Rue des Noyers, au coin de la rue Saint-Jean-de-Beauvais. Enseigne : À l'enseigne de Saint Jérôme"",'Variante(s) de prénom : Jacobus. - Imprimeur-libraire. - De confession calviniste. Frère puîné du libraire parisien Jean Le Gentil. Reçu apprenti de l'imprimeur-libraire parisien Pierre II Des Hayes en août 1622. Reçu maître le 7 mars 1652, mais attesté en activité dès oct. 1651 (il est alors arrêté par le lieutenant civil du Châtelet pour impression d'un libelle annonçant le mariage prétendu du cardinal Mazarin et de la reine mère Anne d'Autriche). Auteur de plusieurs mazarinades, dont ""Le Dernier Combat donné devant Etampes..."" et ""Relation véritable contenant tout ce qui s'est passé à la défaite des troupes du maréchal de Turenne..."" (mai-juin 1652). Arrêté en mai 1652 sur ordre du parlement de Paris pour la publication des ""Dernieres Resolutions faites en parlement"", libelle annonçant l'abandon d'autorité du parlement entre les mains de Gaston d'Orléans. Encore en activité en 1670. Veuve attestée de 1672 à sept. 1694 au moins']",isni:0000000121226728,http://isni.org/isni/0000000121226728,Imprimeur,Paris,rue d'Écosse,près Saint-Hilaire,à l’enseigne Saint Jérôme,
Legrand,Simon,au mont Saint-Hilaire,,,,,,Imprimeur,Paris,,au mont Saint-Hilaire,,
Lemaine,Louis,,,,,,,Imprimeur,,,à la montagne Sainte-Geneviève,,
Lemaine,Gilles,à la montagne Sainte-Geneviève,,,,,,Imprimeur,Paris,,,,
Le Muet,Pierre,Paris,,,"[""Lieu d'activité : Paris. Dates d'activité : 1652. Adresse : Près la porte Saint-Jacques"",""Publie au moins une mazarinade en 1652. Peut-être s'agit-il d'un pseudonyme""]",viaf:120177668,http://viaf.org/viaf/120177668,Imprimeur,Paris,,près la porte Saint-Jacques,,
Lenoble,Antoine,rue Saint-Jacques,,,,,,Imprimeur,Paris,rue Saint-Jacques,,,
Le Prest,Martin,"rue Saint-Jacques, devant la fontaine Saint-Séverin",,A la couronne.,"[""Imprimeur-libraire. - Lieu d'activité : Paris. - Dates d'activité : 1645-1690?. - Adresse : rue Saint-Jacques, devant [la fontaine] S. Séverin. - Enseigne : à la Couronne de France. - Décède avant août 1693""]",isni:0000000071284646,http://isni.org/isni/0000000071284646,Imprimeur,Paris,rue Saint-Jacques,devant la fontaine Saint-Séverin,à la Couronne de France,
Le Rat,Jean,"rue des Sept-Voies, devant le collège de Rheims",,A l’image saint Estienne.|A l’image saint Estienne.,"[""Lieu d'activité : Paris. Dates d'activité : 1647-1667. Adresse : Rue des Sept-Voies (, devant le collège de Reims). Adresse : Rue d'Écosse (, au mont Saint-Hilaire). Enseigne : À l'Image Saint Étienne. Enseigne : Aux Trois Crémaillères"",'Libraire. - En apprentissage chez le libraire parisien Robert I Feugé en août 1625. Reçu maître le 15 mars 1647. Publie en 1649 ""Le Courrier bourdelois"". Rachète en 1652 le fonds de librairie de la veuve d'Antoine Coulon et publie à cette date des mazarinades sous son adresse, ""rue d'Écosse, aux Trois Crémaillères"". Sépulture Paris, 28 oct. 1667']",isni:000000007740264X,http://isni.org/isni/000000007740264X,Imprimeur,Paris,rue des Sept-Voies,devant le collège de Rheims,A la couronne,
Lerond,Jean,"rue Saint-Jean de Latran, devant le collège des trois évêques.",,,,,,Imprimeur,Paris,rue Saint-Jean de Latran,devant le collège des Trois-Evêques,A l’image saint Estienne,
Le Roy,Claude,au mont Saint-Hilaire,,,"['Imprimeur-libraire. Fils du libraire-relieur Jacques I Le Roy. Relieur attesté dès avant 1641, il est recu libraire en déc. 1643 et imprimeur en 1686. Décédé avant nov. 1691', 'Paris : 1643-169.? ; Au Mont Saint-Hilaire (ou : Sainte-Geneviève)']",isni:0000000367182999,http://isni.org/isni/0000000367182999,Imprimeur,Paris,,au mont Saint-Hilaire,,
Leroy,Charles,,,,,,,Imprimeur,,,,,
Lerrein,Nicolas,près le collège d’Arras.,,,,isni:0000000079624916,http://isni.org/isni/0000000079624916,Imprimeur,Paris,,près le collège d’Arras.,,
Lerrein,François,proche le collége d’Arras.,,,,isni:0000000079272498,http://isni.org/isni/0000000079272498,Imprimeur,Paris,,près le collège d’Arras.,,
Lesselin,Alexandre,"rue de la Vieille-Bouclerie, près le pont Saint-Michel ; plus tard rue de la Barillerie, proche la grande porte du Palais, au coin de la rue de la Calandre",,A la fontaine des Pastoureaux.,"['Apprenti puis gendre du libraire-relieur Louis I Frémery. Libraire en 1644, il est reçu imprimeur en 1656. Doit fermer son atelier en 1667 sur décision du Conseil de police du 17 fév', 'Paris : 1644-1667 ; Rue Saint-Jean-de-Beauvais ; Rue de la (Vieille-) Bouclerie (, près le pont Saint-Michel ; proche la grand-porte du Palais, au coin de la rue de Calandre) ; Au coin de la rue Dauphine, devant le Pont-Neuf - Au Cheval Pégase - À la Fontaine des Pastoureaux']",isni:0000000110444682,http://isni.org/isni/0000000110444682,Imprimeur,Paris,rue de la Barillerie,"proche la grande porte du Palais, au coin de la rue de la Calandre",A la fontaine des Pastoureaux.,
L’Hoste,Jean,au mont Saint-Hilaire,,,,,,Imprimeur,Paris,,au mont Saint-Hilaire,,
Loizel,Jean,au mont Saint-Hilaire,,,,,,Imprimeur,Paris,,au mont Saint-Hilaire,,
Lozet,Veuve de Thomas,"en la grande salle du Palais , devant la chapelle.",,,"['Paris',""Nom patronymique : Simone Balbie ou Françoise Bigault. - Imprimeur-libraire. - Succède à son mari l'imprimeur-libraire parisien Thomas Lozet, décédé en 1650 ou 1651. Publie des mazarinades. Sépulture le 25 nov. 1652 à Paris, paroisse Saint-Étienne-du-Mont""]",isni:0000000075133052,http://isni.org/isni/0000000075133052,Imprimeur,Paris,,"en la grande salle du Palais , devant la chapelle.",,
Lombard,Pierre,au mont Saint-Hilaire,,,,isni:0000000121014696,http://isni.org/isni/0000000121014696,Imprimeur,Paris,,au mont Saint-Hilaire,,
Lormeau,Laurens,"rue Saint-Jacques, devant Saint-Benoît.",,A la croix d’or,,isni:0000000078043669,http://isni.org/isni/0000000078043669,Imprimeur,Paris,rue Saint-Jacques,devant Saint-Benoît,A la croix d’or,
Loyson,Guillaume,au Palais,,,"['Adresse(s) : Paris : 1617?-1651 ; Au Palais, en (ou : au milieu de) la galerie des Prisonniers (, près la Chancellerie) ; Au Portique du Palais ; (En la ; Dans la) Cour de Saint-Jean-de-Latran - À la Salamandre - Au Nom de Jésus', ""Devise(s) : Nous brûlons le monde, en brûlant je vis, c'est pour le conserver. - Splendor summus haud intuendus. - Te annuente fruemur bonis"", ""Libraire. - Gendre (avril 1614) du libraire parisien Claude de Monstr'?il et probablement établi au Palais dès 1614. Reçu maître en 1618, on trouve déjà une éd. sous son nom en 1617. Décédé avant le 18 août 1651 (veuve attestée)""]",isni:0000000006911746,http://isni.org/isni/0000000006911746,Imprimeur,Paris,cour de Saint-Jean-de-Latran,au Palais,à la Salamandre - au Nom de Jésus,
Loyson,Jean-Baptiste,au Palais,,,"[""Adresse(s) : Paris (1638?-1694), Rue Saint-Jacques, près la Poste [1640] ; Au Palais, en la salle Dauphine [1648-1649] ; Au Palais, sur le Perron royal, près la porte de la Grande Salle [1652] ; Près la Sainte-Chapelle, à l'entrée de la petite salle des Merciers [1654] ; Rue Saint-Jacques (, près la Poste) [1659-1662] ; Au Palais, devant la Sainte-Chapelle [1663] ; À l'entrée de la grande salle du Palais, du côté de Saint-Barthélemy [1665] ; Dans la grande salle du Palais [1668]. - Au cinquième pilier de la grande salle du Palais [1669-1670] ; Au Palais, (dans la salle des Merciers ; à l'entrée de la salle des Merciers) proche (ou : devant) la Sainte-Chapelle [1672-1676] ;À la Croix d'or [1640] ; À la Croix royale [1659-1662] ; À la Croix d'or [1665-1676]"",""Libraire. - Fils aîné du libraire parisien Guillaume Loyson. Reçu maître le 20 oct. 1639, il exerce dès 1638. Saisie de contrefaçons dans sa boutique de la salle Dauphine du Palais le 3 mars 1648. Père du libraire Henri Loyson, reçu en oct. 1664. En procès avec Damien Foucault et les héritiers de Pierre Rocollet en fév. 1666 - janv. 1667 pour contrefaçon de livres d'église à l'usage de Paris et de Rome dont ils détenaient le privilège. Encore en activité en 1694, il ne figure plus sur la liste établie pour la capitation en 1695 ni sur la liste professionnelle de 1697""]",isni:0000000004958516,http://isni.org/isni/0000000004958516,Imprimeur,Paris,rue Saint-Jacques,près la Poste,,
Lozet,Thomas,rue des Carmes,,A l’arbre de vie.|A l’arbre de vie.,"[""Reçu maître le 10 nov. 1639. Publie notamment des mazarinades. Encore en activité en mai 1650.- Paris, 1639-1650. - Adresses : rue des Carmes, A l'arbre de vie [1639] ; rue des Amandiers, Aux deux dauphins [1640-1641] ; Sur le Pont-au-Change, à l'Escu de France [1650] . - Veuve attestée en novembre 1652""]",isni:0000000068219536,http://isni.org/isni/0000000068219536,Imprimeur,Paris,rue des Carmes,,A l’arbre de vie,
Macé,Nicolas,au mont Saint-Hilaire.,,,"['Imprimeur','Paris, 17e s. Mont saint Hilaire']",viaf:78158124955414930896,http://viaf.org/viaf/78158124955414930896,Imprimeur,Paris,,au mont Saint-Hilaire.,,
Malaize,François,au mont Saint-Hilaire.,,,,isni:0000000077171343,http://isni.org/isni/0000000077171343,Imprimeur,Paris,,au mont Saint-Hilaire.,,
Mallard,Julien,au Puits-Certain.,,,,viaf:120177787,http://viaf.org/viaf/120177787,Imprimeur,Paris,,au Puits-Certain.,,
Marette,Claude,"rue des Lavandières, près la place Maubert et au cinquième pilier de la grande salle du Palais.",,,"['Imprimeur-libraire', 'Paris, 1607-1649. Rue Galande, aux écoles de Picardie, près la place Maubert (1627-1629); rue des Carmes, au Nom de Jésus (1643); rue des Lavandières, près la place Maubert, aux Trois coeurs (1649); au 5e pilier de la grande salle du Palais (1649)']",isni:0000000069630941,http://isni.org/isni/0000000069630941,Imprimeur,Paris,rue des Lavandières,près la place Maubert et au cinquième pilier de la grande salle du Palais,,
Marette,Veuve de  Claude,au Palais,,,"[""Lieu d'activité : Paris. Dates d'activité : 1651?-1652. Adresse : Rue des Lavandières (, près la place Maubert). Adresse : Au Palais (, au cinquième pilier de la Grande Salle). Enseigne : Aux Trois Cœurs"",""Nom patronymique : Geneviève Marguillier. - Succède à son mari l'imprimeur-libraire parisien Claude Marette, décédé en 1651 ou peu après""]",isni:0000000077130621,http://isni.org/isni/0000000077130621,Imprimeur,Paris,rue des Lavandières,près la place Maubert,aux Trois Coeurs,
Margut,Pierre,sur le quai de Gèvres,successeur de Lacarrière,A l’oiseau de paradis,,,,Imprimeur,Paris,sur le quai de Gèvres,,à l'oiseau de paradis,
Martin,Jean,à Angers,imprimeur du roi,,,,,Imprimeur,Angers,,,,
Martin,Sébastien,"rue Saint-Jean de Latran, près le collège royal.",,,"[""Paris, 1646-1681. Adresses : rue Saint-Jacques à l'enseigne Saint-Jean l'évangéliste, devant les Mathurins ; rue Saint-Jean-de-Latran, près le Collège royal (, devant Saint-Benoît) ; rue d'Ecosse, au Mont Saint-Hilaire (à Saint-Jean l'évangéliste) (en 1657) ; rue Saint-Jean-de-Beauvais, à Saint-Jean l'évangéliste"", 'Imprimeur-libraire']",isni:0000000120985669,http://isni.org/isni/0000000120985669,Imprimeur,Paris,rue Saint-Jean de Latran,"près le collège royal, devant Saint-Benoît",,
Matias,Antoine,près le Puits-Certain.,,,,,,Imprimeur,Paris,,près le Puits-Certain,,
Maucroy,Étienne,"rue de la Harpe, vis-à-vis des Mathurins.",,,"['Imprimeur-libraire. Reçu maître en avril 1646. Veuve attestée en mars 1679', 'Paris : 1646-1679? ; Rue de la Harpe (, vis-à-vis la rue des Mathurins ; proche la Croix de fer) ; Rue du Foin, proche la rue de la Harpe - À la Pomme de pin - Au Miroir', ""A travaillé en association avec son beau-père Théodore Pépingué puis avec la veuve de celui-ci jusqu'en 1652 au moins""]",isni:0000000108959687,http://isni.org/isni/0000000108959687,Imprimeur,Paris,rue de la Harpe,vis-à-vis des Mathurins,,
Maury,Martin,au mont Saint-Hilaire,,,,viaf:107069880,http://viaf.org/viaf/107069880,Imprimeur,Paris,,au mont Saint-Hilaire,,
Mérault,Jean,"au mont Saint-Hilaire, près le Puits Certain",,,,,,Imprimeur,Paris,,"au mont Saint-Hilaire, près le Puits Certain",,
Mesnier,Antoine,à Poitiers,imprimeur du roi,,,isni:0000000010707000,http://isni.org/isni/0000000010707000,Imprimeur,Poitiers,,,,
Mettayer,Michel,"en l’île Notre-Dame, sur le Pont-Marie",,Au cygne.,"['Saint-Germain-en-Laye : 1649', ""(Premier) imprimeur (et libraire) ordinaire (et extraordinaire) du Roi (1647-1668). Sans lien de parenté connu avec Jamet et Pierre Mettayer. D'abord établi à Sens, de 1640 à 1643 au moins, il est attesté à Paris dès 1647. Par un arrêt du Conseil du 21 mars 1661, il lui est fait défense, ainsi qu'à 7 autres, de se prévaloir du titre d'imprimeur ordinaire du Roi ; il continue pourtant de le faire figurer en tête de ses publications jusqu'en 1668 au moins"", ""Paris : 1647-1668 ; En l'île Notre-Dame (, proche le pont Marie ; sur le pont Marie) ; Rue de la Huchette (, attenant à l'enseigne de la Bastille, vis-à-vis l'Y grec ; attenant à la Croix blanche, vis-à-vis la Fleur de lys) - À l'Image Saint Jean - Au Cygne - À la Coupe - À la Croix blanche - À l'enseigne du Temple - À l'enseigne de la Bastille"", 'Sens : 1640-1643']",isni:0000000366954336,http://isni.org/isni/0000000366954336,Imprimeur,Paris,rue de la Huchette,"attenant à l'enseigne de la Bastille, vis-à-vis l'Y grec ; attenant à la Croix blanche, vis-à-vis la Fleur de lys",au cygne,
Meturas,Gaspard,"rue Saint-Jacques, près les Mathurins.",,A la Trinité,"[""Paris : 1610-1680? ; Rue Saint-Jacques (, près (ou : proche) les (RR. PP.) Mathurins) - À (l'enseigne de) la (Très-Sainte) Trinité"", 'Associé à partir de 1662 à son fils Gaspard II Meturas, qui lui succède', ""Libraire. Commence à exercer dès 1610, mais n'est recu maître qu'en sept. 1619""]",isni:0000000107160371,http://isni.org/isni/0000000107160371,Imprimeur,Paris,rue Saint-Jacques,près les Mathurins,à la Trinité,
Millanges,Michel,à Bordeaux,,,,,,Imprimeur,Bordeaux,,,,
Millanges,Guillaume,à Bordeaux,,,"['Imprimeur du roi à Bordeaux', 'Bordeaux : 1620-1649 ; Bazas : 1630', ""En 1625, succède à son frère Jacques, mais on trouve un livre avec son adresse dès 1620. Avait chaque année un contrat avec les jésuites pour l'impression des livres de classe""]",isni:0000000078043829,http://isni.org/isni/0000000078043829,Imprimeur,Bordeaux,,,,
Mirville (de),Pierre,rue Saint-Jean de Latran.,,,,,,Imprimeur,Paris,rue Saint-Jean de Latran,,,
Misère en Calamité.,,,,,,,,Imprimeur,,,,,
Mongiron Millanges,Jacques,à Bordeaux,,,"['Imprimeur ordinaire du roi et de la ville de Bordeaux. Successeur de Guillaume Millanges à partir de 1649.Imprime de nombreuses Mazarinades', 'Bordeaux : 1649-1692 ; La réole : 1680-1689']",isni:0000000121390552,http://isni.org/isni/0000000121390552,Imprimeur,Bordeaux,,,,
Montagne (de la),Simon,rue de la Sorbonne,,A la parielle.,,,,Imprimeur,Paris,rue de la Sorbonne,,à la parielle,
Moreau,André,"au mont Saint-Hilaire , proche le Puits-Certain.",,,,,,Imprimeur,Paris,,"au mont Saint-Hilaire, proche le Puits-Certain",,
Morlot,Claude,rue de la Bûcherie,,Aux vieilles étuves.,"[""Enseignes : à la Sirène ; au Soleil ; au Lion d'argent"", 'Adresses : rue Saint-Jacques ; rue Galande (1619) ; rue des Amandiers (1622-1629) ; rue Bordelle, au collège de Tournai ; en la ruelle, devant la petite porte [de] Saint-Séverin (1635-1637). - Rue des Sept-Voies, proche Saint-Hilaire (1639) ; rue du Petit-Pont (1640) ; au coin de la Rue de la Bûcherie, vis-à-vis la rue Saint-Julien-le-Pauvre, Aux Vieilles Étuves(1644-1649)', 'Imprimeur-libraire. Natif de Blaise-sous-Arzillières (Marne). En apprentissage à partir du 11 juin 1605 chez l'imprimeur-libraire parisien Martin II Vérard. Reçu maître le 4 oct. 1618. Attesté lors de l'enquête de 1644. Imprimeur de nombreuses mazarinades, il est arrêté le 17 juillet 1649 (il se dit âgé de 70 ans ou environ lors de son interrogatoire au Châtelet). Le parlement de Paris le condamne à être pendu dès le 20 juillet, pour avoir imprimé ""La Custode de la Reine"", libelle dirigé contre Anne d'Autriche, et plusieurs autres pamphlets. Conduit au supplice, il est libéré par des émeutiers qui selon les témoignages seraient des garçons libraires et imprimeurs, des gens de boutique du quartier ou des portefaix et crocheteurs. Évadé, il est repris et réincarcéré au Châtelet avant le 21 août 1650 (date d'une lettre de Michel Le Tellier au cardinal Mazarin, archives du ministère des Affaires étrangères, Mémoires et documents, 871, fol. 382). On perd ensuite sa trace']",isni:0000000063027789,http://isni.org/isni/0000000063027789,Imprimeur,Paris,rue de la Bûcherie,vis-à-vis la rue Saint-Julien-le-Pauvre,aux vieilles étuves,
